Title,Attachments,Author,Category,Collection,Due,Ownership,Status,Transcribed,URL,Unfinished
Light In August,,William Faulkner,Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
Pachinko,,Min Jin Lee,Fiction,No,,OWNED: Singapore,Finished: 2018,Yes,,No
Colorless Tsukuru Tazaki and His Years of Pilgrimage,,Haruki Murakami,Fiction,No,,BORROWED,Finished: 2000-2014,Yes,,No
The Bluest Eye,,Toni Morrison,Fiction,No,,OWNED: Philippines,Finished: 2016,Yes,,No
Make It Stick: The Science of Successful Learning,,Mark A. McDaniel and Peter C. Brown,Non-Fiction,No,,KINDLE,Finished: 2018,No,,No
Beautiful Ruins,,Jess Walter,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
Dissident Gardens,,Jonathan Lethem,Fiction,No,,OWNED: Philippines,Finished: 2016,Yes,,No
Getting Things Done: The Art of Stress-Free Productivity,,David Allen,Non-Fiction,No,,KINDLE,Finished: 2018,No,,No
The Corrections,,Jonathan Franzen,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
Every Day,,David Levithan,Young Adult,No,,OWNED: Philippines,Finished: 2016,Yes,,No
The Expanse #2: Caliban’s War,,James S.A. Corey,Fiction,No,,KINDLE,Finished: 2018,No,,No
The Communist Manifesto,,Karl Marx & Friedrich Engels,Non-Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
They Both Die At The End,,Adam Silvera,Young Adult,No,,KINDLE,Finished: 2018,No,,No
Swing Time,,Zadie Smith,Fiction,No,,LIBRARY,Finished: 2017,Yes,,No
The God of Small Things,,Arundhati Roy,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
Never Let Me Go,,Kazuo Ishiguro,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Tristessa,,Jack Kerouac,Fiction,No,,OWNED: Philippines,Finished: 2016,Yes,,No
What If It's Us,,Becky Albertalli and Adam Silvera,Young Adult,No,,KINDLE,Finished: 2018,No,,No
The Underground Railroad,,Colson Whitehead,Fiction,No,,OWNED: Singapore,Finished: 2017,No,,No
Challenger Deep,,Neal Shusterman,Young Adult,No,,OWNED: Philippines,Finished: 2015,No,,No
The Abundance of Katerines,,John Green,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
1984,,George Orwell,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
A Wrinkle In Time,,Madeleine L'Engle,Young Adult,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
House of Leaves,,Mark Danielewski,Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
Alibis: Essays on Elsewhere,,André Aciman,Fiction,Yes,,LIBRARY,Finished: 2018,Yes,,No
The Final Solution,,Michael Chabon,Fiction,No,,LIBRARY,Finished: 2017,No,,No
Siddhartha,,Hermann Hesse,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
Slaughterhouse-Five,,Kurt Vonnegut,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
Freedom,,Jonathan Franzen,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
Big Sur,,Jack Kerouac,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Sophie's World,,Jostein Gaarder,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Great Expectations,,Charles Dickens,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
The Martian,,Andy Weir,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,No,,No
Death With Interruptions,,Jose Saramago,Fiction,No,,OWNED: Philippines,Finished: 2016,No,,No
History Is All You Left Me,,Adam Silvera,Young Adult,No,,KINDLE,Finished: 2018,Yes,,No
Leaving The Atocha Station,,Ben Lerner,Fiction,No,,LIBRARY,Finished: 2017,Yes,,No
To Kill A Mockingbird,,Harper Lee,Fiction,No,,OWNED: Philippines,Finished: 2015,Yes,,No
The Brief Wondrous Life of Oscar Wao,,Junot Diaz,Fiction,No,,OWNED: Philippines,Finished: 2000-2014,Yes,,No
